Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom,Condenser_Duty_pred,Reboiler_Duty_pred,T_top_pred,T_mid_pred,T_bottom_pred,residual,anomaly
1.50667,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
